threading;1.54581880569458;100 
threading;1.540569543838501;100 
threading;1.5494143962860107;100 
threading;1.555039644241333;100 
threading;3.1075236797332764;200 
threading;3.086331605911255;200 
threading;3.106621265411377;200 
threading;3.0927324295043945;200 
concurrent.futures;0.1252434253692627;100 
concurrent.futures;0.10524392127990723;100 
concurrent.futures;0.11133050918579102;100 
concurrent.futures;0.10237646102905273;100 
concurrent.futures;0.21909499168395996;200 
concurrent.futures;0.20545196533203125;200 
concurrent.futures;0.22104716300964355;200 
concurrent.futures;0.20699691772460938;200 
asyncio;0.02002549171447754;100 
asyncio;0.027930259704589844;100 
asyncio;0.038195133209228516;100 
asyncio;0.03664803504943848;100 
asyncio;0.057720184326171875;200 
asyncio;0.055288076400756836;200 
asyncio;0.06478142738342285;200 
asyncio;0.0518648624420166;200 
asyncio;0.020817041397094727;10 
asyncio;0.021895647048950195;10 
asyncio;0.010038375854492188;10 
asyncio;0.004977226257324219;10 
threading;0.15580034255981445;10 
threading;0.14728164672851562;10 
threading;0.17549872398376465;10 
threading;0.1471247673034668;10 
concurrent.futures;0.03622293472290039;10 
concurrent.futures;0.02213311195373535;10 
concurrent.futures;0.016272306442260742;10 
concurrent.futures;0.02052760124206543;10 
concurrent.futures;0.0822610855102539;50 
concurrent.futures;0.06074929237365723;50 
concurrent.futures;0.06535792350769043;50 
concurrent.futures;0.05888938903808594;50 
asyncio;0.03109431266784668;50 
asyncio;0.016687631607055664;50 
asyncio;0.030413150787353516;50 
asyncio;0.012978792190551758;50 
asyncio;0.10904407501220703;500 
asyncio;0.0953984260559082;500 
asyncio;0.09678316116333008;500 
asyncio;0.09326672554016113;500 
threading;7.768935203552246;500 
threading;7.800344705581665;500 
threading;7.76722264289856;500 
threading;7.75176477432251;500 
concurrent.futures;0.503270149230957;500 
concurrent.futures;0.49390363693237305;500 
concurrent.futures;0.5156762599945068;500 
concurrent.futures;0.4963347911834717;500 
concurrent.futures;0.5079948902130127;500 
concurrent.futures;0.4963393211364746;500 
